HHID,Migration,Internal migration,International migration,Age (HH head),Female (HH head),Secondary education (HH head),HH size,Ethnic minority,Sex ratio,Married females,Married males,ln(savings + 1),Nonfarm income,Temp. anomaly (+),Temp. anomaly (-),Prec. anomaly (+),Prec. anomaly (-),zone,region,kebele
9100111,2,2,0,51.0,0.0,0.0,5.0,0,0.4,0.0,0.3333333333333333,3.044522437723423,1.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
9104221,2,2,2,65.0,0.0,0.0,10.0,0,0.6,0.1666666666666666,0.5,9.90353755128617,0.0,10.82193004126784,-10.041669097613656,-5.10283144680966,-3.9297380403708218,Arsi,Oromia,421.0
9110724,2,2,0,50.0,0.0,0.0,8.0,0,0.625,0.2,0.3333333333333333,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
9200723,2,0,2,60.0,1.0,0.0,7.0,0,0.7142857142857143,0.2,0.0,6.90875477931522,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
9204222,2,2,0,70.0,0.0,1.0,12.0,0,0.4166666666666667,0.6,0.4285714285714285,9.210440366976515,0.0,10.82193004126784,-10.041669097613656,-5.10283144680966,-3.9297380403708218,Arsi,Oromia,422.0
9280111,0,0,0,36.0,1.0,0.0,7.0,0,0.4285714285714285,0.3333333333333333,0.25,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
9304222,0,0,0,38.0,0.0,0.0,5.0,1,0.6,0.3333333333333333,0.5,0.0,1.0,10.82193004126784,-10.041669097613656,-5.10283144680966,-3.9297380403708218,Arsi,Oromia,422.0
9360723,0,0,0,70.0,1.0,0.0,6.0,0,0.6666666666666666,0.25,0.0,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
9370111,0,0,0,74.0,1.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
9380724,2,2,0,67.0,0.0,0.0,9.0,0,0.2222222222222222,0.5,0.1428571428571428,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
9390712,2,2,0,60.0,0.0,0.0,8.0,0,0.5,0.75,0.5,0.0,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
9450111,0,1,2,48.0,1.0,0.0,5.0,0,0.8,0.0,0.0,8.164225652265827,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
9450123,0,0,0,35.0,0.0,1.0,7.0,0,0.4285714285714285,0.3333333333333333,0.25,6.2166061010848646,1.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,121.0
9460712,0,0,0,52.0,0.0,1.0,8.0,0,0.5,0.25,0.25,6.398594934535208,1.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
9480124,0,1,2,50.0,1.0,1.0,3.0,0,0.3333333333333333,1.0,0.0,2.3978952727983707,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
9530111,2,2,0,35.0,1.0,0.0,7.0,0,0.4285714285714285,0.0,0.0,3.4339872044851463,1.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
9530712,2,0,2,55.0,0.0,0.0,10.0,0,0.5,0.2,0.2,0.0,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
9530724,0,0,0,32.0,0.0,0.0,4.0,0,0.75,0.3333333333333333,1.0,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
9590111,2,2,0,60.0,1.0,0.0,7.0,0,0.7142857142857143,0.4,0.5,5.303304908059076,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
9640111,2,2,0,58.0,1.0,0.0,6.0,0,0.6666666666666666,0.5,0.0,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
9710111,0,0,0,64.0,0.0,0.0,6.0,0,0.5,0.3333333333333333,0.3333333333333333,5.707110264748875,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
